ID,Nama Makanan,Kelompok,Tipe,Kalori,Kategori
SE001,Beras,Serealia,Mentah,357,Sarapan
SE002,Beras pelita,Serealia,Mentah,369,Sarapan
SE003,Beras rojolele,Serealia,Mentah,357,Sarapan
SE004,Beras Hitam ,Serealia,Mentah,351,Sarapan
BU001,Apel,Buah,Mentah,58,Sarapan
BU002,Alpukat,Buah,Mentah,85,Sarapan
BU003,Anggur,Buah,Mentah,30,Sarapan
BU004,Belimbing,Buah,Mentah,36,Sarapan
BU005,Buah naga,Buah,Mentah,71,Sarapan
BU006,Duku,Buah,Mentah,63,Sarapan
BU007,Jambu biji,Buah,Mentah,49,Makan Siang
BU008,Jambu air,Buah,Mentah,46,Makan Siang
BU009,Jambu bol,Buah,Mentah,49,Makan Siang
BU010,Jeruk,Buah,Mentah,45,Makan Siang
BU011,Jeruk bali,Buah,Mentah,48,Makan Siang
BU012,Kelapa,Buah,Mentah,68,Makan Siang
BU013,Langsat,Buah,Mentah,56,Makan Siang
BU014,Lemon,Buah,Mentah,34,Makan Siang
BU015,Mangga,Buah,Mentah,52,Makan Siang
BU016,Manggis,Buah,Mentah,63,Makan Siang
BU017,Melon,Buah,Mentah,37,Makan Siang
BU018,Nanas,Buah,Mentah,40,Makan Siang
BU019,Nangka,Buah,Mentah,106,Makan Siang
BU020,Pepaya,Buah,Mentah,46,Makan Siang
BU021,Pisang,Buah,Mentah,127,Makan Siang
BU022,Rambutan,Buah,Mentah,69,Makan Siang
BU023,Salak,Buah,Mentah,77,Makan Siang
BU024,Sawo,Buah,Mentah,111,Makan Siang
BU025,Semangka,Buah,Mentah,28,Makan Siang
BU026,Sirsak,Buah,Mentah,65,Makan Siang
BU027,Srikaya,Buah,Mentah,63,Makan Siang
BU028,Sukun,Buah,Mentah,126,Makan Siang
SE005,Beras jagung kuning,Serealia,Mentah,358,Makan Siang
SE006,Beras jagung putih,Serealia,Mentah,307,Makan Siang
SE007,Beras ketan hitam tumbuk,Serealia,Mentah,360,Makan Siang
SE008,Beras ketan putih tumbuk,Serealia,Mentah,361,Makan Malam
SE009,Beras ladang,Serealia,Mentah,376,Makan Malam
SE010,Beras menir,Serealia,Mentah,262,Makan Malam
SE011,Beras parboiled,Serealia,Mentah,353,Makan Malam
SE012,Beras tumbuk,Serealia,Mentah,354,Makan Malam
SE013,Beras tumbuk merah,Serealia,Mentah,352,Makan Malam
SE014,Cantel,Serealia,Mentah,366,Makan Malam
SE015,Jagung muda,Serealia,Mentah,147,Makan Malam
SE016,Jagung kuning pipil,Serealia,Mentah,366,Makan Malam
SE017,Jagung pipil harapan,Serealia,Mentah,367,Makan Malam
SE018,Jagung pipil metro,Serealia,Mentah,368,Makan Malam
SE019,Jali,Serealia,Mentah,324,Makan Malam
SE020,Jawawut,Serealia,Mentah,364,Makan Malam
SE021,Jampang huma,Serealia,Mentah,350,Makan Malam
SE021,Nasi,Serealia,Olahan,180,Makan Malam
SE022,Nasi tim,Serealia,Olahan,120,Makan Malam
SE023,Tapai beras,Serealia,Olahan,99,Makan Malam
SE024,Tepung beras,Serealia,Olahan,353,Makan Malam
KA001,Tempe, Kacang-kacangan,Olahan,118,Makan Malam
KA002,Tempe bacem,Kacang-kacangan,Olahan,119,Makan Malam
KA003,Tahu,Kacang-kacangan,Olahan,113,Makan Malam
DA001,Dada ayam goreng(dengan kulit),Daging,Mentah,216,Makan Malam
DA002,Dada ayam goreng (tanpa kulit),Daging,Mentah,184,Makan Malam
DA003,Bebek goreng,Daging,Olahan,286,Makan Malam
DA004,Ikan lele goreng,Daging,Olahan,105,Makan Malam
DA005,Bakso sapi,Daging,Olahan,202,Makan Malam
DA006,Chicken nugget,Daging,Olahan,297,Makan Malam
